n_Length,n_dots,n_hypens,n_underline,n_slash,n_questionmark,n_equal,n_AtSign,n_and,n_exclamation,n_space,n_tilde,n_comma,n_plus,n_asterisk,n_hastag,n_dollar,n_percent,n_redirection,label
38,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
109,2,0,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1
82,2,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,4,0,0,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1
21,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
108,3,1,5,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
34,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114,1,1,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1
161,2,2,3,6,1,3,0,2,0,0,0,0,0,0,0,0,0,1,1
68,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
242,14,1,0,7,2,6,0,10,0,0,0,0,0,0,0,0,0,0,1
45,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,1,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111,2,2,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
39,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
181,3,1,0,10,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1
26,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,5,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
75,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
100,3,1,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
62,3,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
43,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
